title,star_rating,content_rating,genre,duration,actors_list
The Night of the Hunter,8.1,APPROVED,Crime,92,"[u'Robert Mitchum', u'Shelley Winters', u'Lillian Gish']"
La Haine,8.1,NOT RATED,Crime,98,"[u'Vincent Cassel', u'Hubert Kound\xe9', u'Sa\xefd Taghmaoui']"
Yip Man,8.1,R,Action,106,"[u'Donnie Yen', u'Simon Yam', u'Siu-Wong Fan']"
High Noon,8.1,PG,Western,85,"[u'Gary Cooper', u'Grace Kelly', u'Thomas Mitchell']"
Notorious,8.1,APPROVED,Drama,101,"[u'Cary Grant', u'Ingrid Bergman', u'Claude Rains']"
Before Sunrise,8.1,R,Drama,105,"[u'Ethan Hawke', u'Julie Delpy', u'Andrea Eckert']"
Elite Squad: The Enemy Within,8.1,UNRATED,Action,115,"[u'Wagner Moura', u'Irandhir Santos', u'Andr\xe9 Ramiro']"
The Bourne Ultimatum,8.1,PG-13,Action,115,"[u'Matt Damon', u'\xc9dgar Ram\xedrez', u'Joan Allen']"
Castle in the Sky,8.1,PG,Animation,124,"[u'Anna Paquin', u'James Van Der Beek', u'Cloris Leachman']"
The Celebration,8.1,R,Drama,105,"[u'Ulrich Thomsen', u'Henning Moritzen', u'Thomas Bo Larsen']"
"Spring, Summer, Fall, Winter... and Spring",8.1,R,Drama,103,"[u'Ki-duk Kim', u'Yeong-su Oh', u'Jong-ho Kim']"
Shutter Island,8.1,R,Mystery,138,"[u'Leonardo DiCaprio', u'Emily Mortimer', u'Mark Ruffalo']"
Barry Lyndon,8.1,PG,Adventure,184,"[u""Ryan O'Neal"", u'Marisa Berenson', u'Patrick Magee']"
Stalag 17,8.1,NOT RATED,Comedy,120,"[u'William Holden', u'Don Taylor', u'Otto Preminger']"
Three Colors: Red,8.1,R,Drama,99,"[u'Ir\xe8ne Jacob', u'Jean-Louis Trintignant', u'Fr\xe9d\xe9rique Feder']"
X-Men: Days of Future Past,8.1,PG-13,Action,131,"[u'Patrick Stewart', u'Ian McKellen', u'Hugh Jackman']"
Sleuth,8.1,PG,Mystery,138,"[u'Laurence Olivier', u'Michael Caine', u'Alec Cawthorne']"
In the Mood for Love,8.1,PG,Drama,98,"[u'Tony Chiu Wai Leung', u'Maggie Cheung', u'Ping Lam Siu']"
The Man Who Shot Liberty Valance,8.1,APPROVED,Drama,123,"[u'James Stewart', u'John Wayne', u'Vera Miles']"
Arsenic and Old Lace,8.1,NOT RATED,Comedy,118,"[u'Cary Grant', u'Priscilla Lane', u'Raymond Massey']"
The Big Sleep,8.1,APPROVED,Crime,114,"[u'Humphrey Bogart', u'Lauren Bacall', u'John Ridgely']"
Roman Holiday,8.1,NOT RATED,Comedy,118,"[u'Gregory Peck', u'Audrey Hepburn', u'Eddie Albert']"
The Philadelphia Story,8.1,NOT RATED,Comedy,112,"[u'Cary Grant', u'Katharine Hepburn', u'James Stewart']"
Akira,8.1,R,Animation,124,"[u'Nozomu Sasaki', u'Mami Koyama', u'Mitsuo Iwata']"
Anatomy of a Murder,8.1,UNRATED,Crime,160,"[u'James Stewart', u'Lee Remick', u'Ben Gazzara']"
The Cabinet of Dr. Caligari,8.1,UNRATED,Crime,67,"[u'Werner Krauss', u'Conrad Veidt', u'Friedrich Feher']"
The Help,8.1,PG-13,Drama,146,"[u'Emma Stone', u'Viola Davis', u'Octavia Spencer']"
The Sea Inside,8.1,PG-13,Biography,125,"[u'Javier Bardem', u'Bel\xe9n Rueda', u'Lola Due\xf1as']"
Elite Squad,8.1,R,Action,115,"[u'Wagner Moura', u'Andr\xe9 Ramiro', u'Caio Junqueira']"
The Hustler,8.1,UNRATED,Drama,134,"[u'Paul Newman', u'Jackie Gleason', u'Piper Laurie']"
Rio Bravo,8.1,NOT RATED,Western,141,"[u'John Wayne', u'Dean Martin', u'Ricky Nelson']"
Twelve Monkeys,8.1,R,Mystery,129,"[u'Bruce Willis', u'Madeleine Stowe', u'Brad Pitt']"
Harvey,8.1,NOT RATED,Comedy,104,"[u'James Stewart', u'Josephine Hull', u'Peggy Dow']"
A Christmas Story,8.1,PG,Comedy,94,"[u'Peter Billingsley', u'Melinda Dillon', u'Darren McGavin']"
Jaws,8.1,PG,Drama,124,"[u'Roy Scheider', u'Robert Shaw', u'Richard Dreyfuss']"
The Raid 2,8.1,R,Action,150,"[u'Iko Uwais', u'Yayan Ruhian', u'Arifin Putra']"
Rocky,8.1,PG,Drama,119,"[u'Sylvester Stallone', u'Talia Shire', u'Burt Young']"
Wings of Desire,8.1,PG-13,Drama,128,"[u'Bruno Ganz', u'Solveig Dommartin', u'Otto Sander']"
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,PG-13,Adventure,143,"[u'Johnny Depp', u'Geoffrey Rush', u'Orlando Bloom']"
The Killing,8.1,APPROVED,Crime,85,"[u'Sterling Hayden', u'Coleen Gray', u'Vince Edwards']"
Papillon,8.1,R,Biography,151,"[u'Steve McQueen', u'Dustin Hoffman', u'Victor Jory']"
The King's Speech,8.1,R,Biography,118,"[u'Colin Firth', u'Geoffrey Rush', u'Helena Bonham Carter']"
Groundhog Day,8.1,PG,Comedy,101,"[u'Bill Murray', u'Andie MacDowell', u'Chris Elliott']"
A Fistful of Dollars,8.1,R,Action,99,"[u'Clint Eastwood', u'Gian Maria Volont\xe9', u'Marianne Koch']"
"Monsters, Inc.",8.1,G,Animation,92,"[u'Billy Crystal', u'John Goodman', u'Mary Gibbs']"
Dog Day Afternoon,8.1,R,Crime,125,"[u'Al Pacino', u'John Cazale', u'Penelope Allen']"
The Perks of Being a Wallflower,8.1,PG-13,Drama,102,"[u'Logan Lerman', u'Emma Watson', u'Ezra Miller']"
Young Frankenstein,8.1,PG,Comedy,106,"[u'Gene Wilder', u'Madeline Kahn', u'Marty Feldman']"
The Terminator,8.1,R,Action,107,"[u'Arnold Schwarzenegger', u'Linda Hamilton', u'Michael Biehn']"
Harold and Maude,8.1,GP,Comedy,91,"[u'Ruth Gordon', u'Bud Cort', u'Vivian Pickles']"
Before Sunset,8.1,R,Drama,80,"[u'Ethan Hawke', u'Julie Delpy', u'Vernon Dobtcheff']"
A Streetcar Named Desire,8.1,PG,Drama,122,"[u'Vivien Leigh', u'Marlon Brando', u'Kim Hunter']"
Bringing Up Baby,8.1,APPROVED,Comedy,102,"[u'Katharine Hepburn', u'Cary Grant', u'Charles Ruggles']"
The Diving Bell and the Butterfly,8.1,PG-13,Biography,112,"[u'Mathieu Amalric', u'Emmanuelle Seigner', u'Marie-Jos\xe9e Croze']"
His Girl Friday,8.1,APPROVED,Comedy,92,"[u'Cary Grant', u'Rosalind Russell', u'Ralph Bellamy']"
Sling Blade,8.1,R,Drama,135,"[u'Billy Bob Thornton', u'Dwight Yoakam', u'J.T. Walsh']"
All Quiet on the Western Front,8.1,UNRATED,Drama,136,"[u'Lew Ayres', u'Louis Wolheim', u'John Wray']"
Prisoners,8.1,R,Crime,153,"[u'Hugh Jackman', u'Jake Gyllenhaal', u'Viola Davis']"
The Return,8.1,UNRATED,Drama,105,"[u'Vladimir Garin', u'Ivan Dobronravov', u'Konstantin Lavronenko']"
The Manchurian Candidate,8.1,APPROVED,Mystery,126,"[u'Frank Sinatra', u'Laurence Harvey', u'Janet Leigh']"
Duck Soup,8.1,PASSED,Comedy,68,"[u'Groucho Marx', u'Harpo Marx', u'Chico Marx']"
Beauty and the Beast,8.1,G,Animation,84,"[u""Paige O'Hara"", u'Robby Benson', u'Richard White']"
The Truman Show,8.1,PG,Drama,103,"[u'Jim Carrey', u'Ed Harris', u'Laura Linney']"
The Wild Bunch,8.1,R,Action,145,"[u'William Holden', u'Ernest Borgnine', u'Robert Ryan']"
Rope,8.0,PG,Crime,80,"[u'James Stewart', u'John Dall', u'Farley Granger']"
The Graduate,8.0,APPROVED,Comedy,106,"[u'Dustin Hoffman', u'Anne Bancroft', u'Katharine Ross']"
Jurassic Park,8.0,PG-13,Adventure,127,"[u'Sam Neill', u'Laura Dern', u'Jeff Goldblum']"
Dogville,8.0,R,Crime,178,"[u'Nicole Kidman', u'Paul Bettany', u'Lauren Bacall']"
Furious 7,8.0,PG-13,Action,137,"[u'Vin Diesel', u'Paul Walker', u'Dwayne Johnson']"
Patton,8.0,GP,Biography,172,"[u'George C. Scott', u'Karl Malden', u'Stephen Young']"
The Nightmare Before Christmas,8.0,PG,Animation,76,"[u'Danny Elfman', u'Chris Sarandon', u""Catherine O'Hara""]"
Being There,8.0,PG,Comedy,130,"[u'Peter Sellers', u'Shirley MacLaine', u'Melvyn Douglas']"
Persepolis,8.0,PG-13,Animation,96,"[u'Chiara Mastroianni', u'Catherine Deneuve', u'Gena Rowlands']"
This Is Spinal Tap,8.0,R,Comedy,82,"[u'Rob Reiner', u'Michael McKean', u'Christopher Guest']"
East of Eden,8.0,PG,Drama,115,"[u'James Dean', u'Raymond Massey', u'Julie Harris']"
Pink Floyd The Wall,8.0,R,Animation,95,"[u'Bob Geldof', u'Christine Hargreaves', u'James Laurenson']"
Blood Diamond,8.0,R,Adventure,143,"[u'Leonardo DiCaprio', u'Djimon Hounsou', u'Jennifer Connelly']"
Big Fish,8.0,PG-13,Adventure,125,"[u'Ewan McGregor', u'Albert Finney', u'Billy Crudup']"
Slumdog Millionaire,8.0,R,Drama,120,"[u'Dev Patel', u'Freida Pinto', u'Saurabh Shukla']"
Star Trek,8.0,PG-13,Action,127,"[u'Chris Pine', u'Zachary Quinto', u'Simon Pegg']"
The Straight Story,8.0,G,Biography,112,"[u'Richard Farnsworth', u'Sissy Spacek', u'Jane Galloway Heitz']"
Crimes and Misdemeanors,8.0,PG-13,Comedy,104,"[u'Martin Landau', u'Woody Allen', u'Bill Bernstein']"
Charade,8.0,NOT RATED,Comedy,113,"[u'Cary Grant', u'Audrey Hepburn', u'Walter Matthau']"
JFK,8.0,R,Drama,189,"[u'Kevin Costner', u'Gary Oldman', u'Jack Lemmon']"
Dawn of the Dead,8.0,UNRATED,Horror,127,"[u'David Emge', u'Ken Foree', u'Scott H. Reiniger']"
Magnolia,8.0,R,Drama,188,"[u'Tom Cruise', u'Jason Robards', u'Julianne Moore']"
Manhattan,8.0,R,Comedy,96,"[u'Woody Allen', u'Diane Keaton', u'Mariel Hemingway']"
Central Station,8.0,R,Drama,113,"[u'Fernanda Montenegro', u'Vin\xedcius de Oliveira', u'Mar\xedlia P\xeara']"
Brazil,8.0,R,Sci-Fi,132,"[u'Jonathan Pryce', u'Kim Greist', u'Robert De Niro']"
The Exorcist,8.0,R,Horror,122,"[u'Ellen Burstyn', u'Max von Sydow', u'Linda Blair']"
Her,8.0,R,Drama,126,"[u'Joaquin Phoenix', u'Amy Adams', u'Scarlett Johansson']"
Dancer in the Dark,8.0,R,Crime,140,"[u'Bj\xf6rk', u'Catherine Deneuve', u'David Morse']"
Rain Man,8.0,R,Drama,133,"[u'Dustin Hoffman', u'Tom Cruise', u'Valeria Golino']"
Talk to Her,8.0,R,Drama,112,"[u'Rosario Flores', u'Javier C\xe1mara', u'Dar\xedo Grandinetti']"
The Adventures of Robin Hood,8.0,PG,Action,102,"[u'Errol Flynn', u'Olivia de Havilland', u'Basil Rathbone']"
"Aguirre, the Wrath of God",8.0,NOT RATED,Adventure,93,"[u'Klaus Kinski', u'Ruy Guerra', u'Helena Rojo']"
In the Heat of the Night,8.0,APPROVED,Crime,109,"[u'Sidney Poitier', u'Rod Steiger', u'Warren Oates']"
Nosferatu,8.0,UNRATED,Horror,81,"[u'Max Schreck', u'Greta Schr\xf6der', u'Ruth Landshoff']"
Black Swan,8.0,R,Drama,108,"[u'Natalie Portman', u'Mila Kunis', u'Vincent Cassel']"
Ratatouille,8.0,G,Animation,111,"[u'Brad Garrett', u'Lou Romano', u'Patton Oswalt']"
The Searchers,8.0,APPROVED,Adventure,119,"[u'John Wayne', u'Jeffrey Hunter', u'Vera Miles']"
Short Term 12,8.0,R,Drama,96,"[u'Brie Larson', u'Frantz Turner', u'John Gallagher Jr.']"
Doctor Zhivago,8.0,PG-13,Drama,197,"[u'Omar Sharif', u'Julie Christie', u'Geraldine Chaplin']"
Life of Pi,8.0,PG,Adventure,127,"[u'Suraj Sharma', u'Irrfan Khan', u'Adil Hussain']"
All the President's Men,8.0,R,Drama,138,"[u'Dustin Hoffman', u'Robert Redford', u'Jack Warden']"
Battleship Potemkin,8.0,UNRATED,History,66,"[u'Aleksandr Antonov', u'Vladimir Barsky', u'Grigori Aleksandrov']"
Dances with Wolves,8.0,PG-13,Adventure,181,"[u'Kevin Costner', u'Mary McDonnell', u'Graham Greene']"
Catch Me If You Can,8.0,PG-13,Biography,141,"[u'Leonardo DiCaprio', u'Tom Hanks', u'Christopher Walken']"
Cinderella Man,8.0,PG-13,Biography,144,"[u'Russell Crowe', u'Ren\xe9e Zellweger', u'Craig Bierko']"
Dead Poets Society,8.0,PG,Drama,128,"[u'Robin Williams', u'Robert Sean Leonard', u'Ethan Hawke']"
Ghost in the Shell,8.0,NOT RATED,Animation,83,"[u'Atsuko Tanaka', u'Iemasa Kayumi', u'Akio \xd4tsuka']"
Head-On,8.0,R,Drama,121,"[u'Birol \xdcnel', u'Sibel Kekilli', u'G\xfcven Kira\xe7']"
No Man's Land,8.0,R,Drama,98,"[u'Branko Djuric', u'Rene Bitorajac', u'Filip Sovagovic']"
Dallas Buyers Club,8.0,R,Biography,117,"[u'Matthew McConaughey', u'Jennifer Garner', u'Jared Leto']"
Days of Heaven,8.0,PG,Drama,94,"[u'Richard Gere', u'Brooke Adams', u'Sam Shepard']"
The Sound of Music,8.0,G,Biography,174,"[u'Julie Andrews', u'Christopher Plummer', u'Eleanor Parker']"
District 9,8.0,R,Action,112,"[u'Sharlto Copley', u'David James', u'Jason Cope']"
Shadow of a Doubt,8.0,APPROVED,Thriller,108,"[u'Teresa Wright', u'Joseph Cotten', u'Macdonald Carey']"
Frankenstein,8.0,UNRATED,Horror,70,"[u'Colin Clive', u'Mae Clarke', u'Boris Karloff']"
Shaun of the Dead,8.0,R,Comedy,99,"[u'Simon Pegg', u'Nick Frost', u'Kate Ashfield']"
Night of the Living Dead,8.0,UNRATED,Horror,96,"[u'Duane Jones', u""Judith O'Dea"", u'Karl Hardman']"
Kill Bill: Vol. 2,8.0,R,Action,137,"[u'Uma Thurman', u'David Carradine', u'Michael Madsen']"
Secrets & Lies,8.0,R,Drama,136,"[u'Timothy Spall', u'Brenda Blethyn', u'Phyllis Logan']"
The Artist,8.0,PG-13,Comedy,100,"[u'Jean Dujardin', u'B\xe9r\xe9nice Bejo', u'John Goodman']"
Aladdin,8.0,G,Animation,90,"[u'Scott Weinger', u'Robin Williams', u'Linda Larkin']"
The Lady Vanishes,8.0,PASSED,Comedy,96,"[u'Margaret Lockwood', u'Michael Redgrave', u'Paul Lukas']"
The Hobbit: The Desolation of Smaug,8.0,PG-13,Adventure,161,"[u'Ian McKellen', u'Martin Freeman', u'Richard Armitage']"
Let the Right One In,8.0,R,Drama,115,"[u'K\xe5re Hedebrant', u'Lina Leandersson', u'Per Ragnar']"
Fiddler on the Roof,8.0,G,Drama,181,"[u'Topol', u'Norma Crane', u'Leonard Frey']"
The Hobbit: An Unexpected Journey,8.0,PG-13,Adventure,169,"[u'Martin Freeman', u'Ian McKellen', u'Richard Armitage']"
Three Colors: Blue,8.0,R,Drama,98,"[u'Juliette Binoche', u'Zbigniew Zamachowski', u'Julie Delpy']"
Rosemary's Baby,8.0,R,Drama,136,"[u'Mia Farrow', u'John Cassavetes', u'Ruth Gordon']"
Mystic River,8.0,R,Crime,138,"[u'Sean Penn', u'Tim Robbins', u'Kevin Bacon']"
Serenity,8.0,PG-13,Action,119,"[u'Nathan Fillion', u'Gina Torres', u'Chiwetel Ejiofor']"
Amarcord,8.0,R,Comedy,123,"[u'Magali No\xebl', u'Bruno Zanin', u'Pupella Maggio']"
Planet of the Apes,8.0,G,Adventure,112,"[u'Charlton Heston', u'Roddy McDowall', u'Kim Hunter']"
True Romance,8.0,R,Crime,120,"[u'Christian Slater', u'Patricia Arquette', u'Dennis Hopper']"
Hannah and Her Sisters,8.0,PG-13,Comedy,103,"[u'Mia Farrow', u'Dianne Wiest', u'Michael Caine']"
Moon,8.0,R,Drama,97,"[u'Sam Rockwell', u'Kevin Spacey', u'Dominique McElligott']"
Before Midnight,8.0,R,Drama,109,"[u'Ethan Hawke', u'Julie Delpy', u'Seamus Davey-Fitzpatrick']"
My Name Is Khan,8.0,PG-13,Drama,165,"[u'Shah Rukh Khan', u'Kajol', u'Sheetal Menon']"
Scent of a Woman,8.0,R,Drama,156,"[u'Al Pacino', u""Chris O'Donnell"", u'James Rebhorn']"
Mulholland Dr.,8.0,R,Drama,147,"[u'Naomi Watts', u'Laura Harring', u'Justin Theroux']"
King Kong,8.0,UNRATED,Adventure,100,"[u'Fay Wray', u'Robert Armstrong', u'Bruce Cabot']"
The Fault in Our Stars,8.0,PG-13,Drama,126,"[u'Shailene Woodley', u'Ansel Elgort', u'Nat Wolff']"
The Incredibles,8.0,PG,Animation,115,"[u'Craig T. Nelson', u'Samuel L. Jackson', u'Holly Hunter']"
Edward Scissorhands,8.0,PG-13,Drama,105,"[u'Johnny Depp', u'Winona Ryder', u'Dianne Wiest']"
Casino Royale,8.0,PG-13,Action,144,"[u'Daniel Craig', u'Eva Green', u'Judi Dench']"
How to Train Your Dragon 2,8.0,PG,Animation,102,"[u'Jay Baruchel', u'Cate Blanchett', u'Gerard Butler']"
In Bruges,8.0,R,Comedy,107,"[u'Colin Farrell', u'Brendan Gleeson', u'Ciar\xe1n Hinds']"
The Untouchables,8.0,R,Crime,119,"[u'Kevin Costner', u'Sean Connery', u'Robert De Niro']"
Breathless,8.0,UNRATED,Crime,90,"[u'Jean-Paul Belmondo', u'Jean Seberg', u'Daniel Boulanger']"
Spartacus,8.0,PG-13,Action,197,"[u'Kirk Douglas', u'Laurence Olivier', u'Jean Simmons']"
The Iron Giant,8.0,PG,Animation,86,"[u'Eli Marienthal', u'Harry Connick Jr.', u'Jennifer Aniston']"
Midnight Cowboy,8.0,X,Drama,113,"[u'Dustin Hoffman', u'Jon Voight', u'Sylvia Miles']"
The Blues Brothers,8.0,R,Action,133,"[u'John Belushi', u'Dan Aykroyd', u'Cab Calloway']"
Freaks,8.0,UNRATED,Drama,64,"[u'Wallace Ford', u'Leila Hyams', u'Olga Baclanova']"
Letters from Iwo Jima,8.0,R,Drama,141,"[u'Ken Watanabe', u'Kazunari Ninomiya', u'Tsuyoshi Ihara']"
Edge of Tomorrow,8.0,PG-13,Action,113,"[u'Tom Cruise', u'Emily Blunt', u'Bill Paxton']"
Glory,8.0,R,Drama,122,"[u'Matthew Broderick', u'Denzel Washington', u'Cary Elwes']"
The African Queen,8.0,PG,Adventure,105,"[u'Humphrey Bogart', u'Katharine Hepburn', u'Robert Morley']"
Birdman: Or (The Unexpected Virtue of Ignorance),7.9,R,Comedy,119,"[u'Michael Keaton', u'Zach Galifianakis', u'Edward Norton']"
Big Hero 6,7.9,PG,Animation,102,"[u'Ryan Potter', u'Scott Adsit', u'Jamie Chung']"
Almost Famous,7.9,R,Drama,122,"[u'Billy Crudup', u'Patrick Fugit', u'Kate Hudson']"
The Notebook,7.9,PG-13,Drama,123,"[u'Gena Rowlands', u'James Garner', u'Rachel McAdams']"
The Conversation,7.9,PG,Drama,113,"[u'Gene Hackman', u'John Cazale', u'Allen Garfield']"
The Breakfast Club,7.9,R,Comedy,97,"[u'Emilio Estevez', u'Judd Nelson', u'Molly Ringwald']"
The Pursuit of Happyness,7.9,PG-13,Biography,117,"[u'Will Smith', u'Thandie Newton', u'Jaden Smith']"
The Killer,7.9,R,Action,111,"[u'Yun-Fat Chow', u'Danny Lee', u'Sally Yeh']"
Once,7.9,R,Drama,85,"[u'Glen Hansard', u'Mark\xe9ta Irglov\xe1', u'Hugh Walsh']"
Ying xiong,7.9,PG-13,Action,99,"[u'Jet Li', u'Tony Chiu Wai Leung', u'Maggie Cheung']"
The Remains of the Day,7.9,PG,Drama,134,"[u'Anthony Hopkins', u'Emma Thompson', u'John Haycraft']"
The Bride of Frankenstein,7.9,NOT RATED,Horror,75,"[u'Boris Karloff', u'Elsa Lanchester', u'Colin Clive']"
The Wrestler,7.9,R,Drama,109,"[u'Mickey Rourke', u'Marisa Tomei', u'Evan Rachel Wood']"
Nightcrawler,7.9,R,Crime,117,"[u'Jake Gyllenhaal', u'Rene Russo', u'Bill Paxton']"
Gravity,7.9,PG-13,Sci-Fi,91,"[u'Sandra Bullock', u'George Clooney', u'Ed Harris']"
Hard Boiled,7.9,R,Action,128,"[u'Yun-Fat Chow', u'Tony Chiu Wai Leung', u'Teresa Mo']"
Bonnie and Clyde,7.9,APPROVED,Biography,111,"[u'Warren Beatty', u'Faye Dunaway', u'Michael J. Pollard']"
The Bourne Identity,7.9,PG-13,Action,119,"[u'Franka Potente', u'Matt Damon', u'Chris Cooper']"
Key Largo,7.9,UNRATED,Crime,100,"[u'Humphrey Bogart', u'Edward G. Robinson', u'Lauren Bacall']"
Nine Queens,7.9,R,Crime,114,"[u'Ricardo Dar\xedn', u'Gast\xf3n Pauls', u'Leticia Br\xe9dice']"
Toy Story 2,7.9,G,Animation,92,"[u'Tom Hanks', u'Tim Allen', u'Joan Cusack']"
The Killing Fields,7.9,R,Drama,141,"[u'Sam Waterston', u'Haing S. Ngor', u'John Malkovich']"
All About My Mother,7.9,R,Drama,101,"[u'Cecilia Roth', u'Marisa Paredes', u'Candela Pe\xf1a']"
Cowboy Bebop: The Movie,7.9,R,Animation,115,"[u'Beau Billingslea', u'Melissa Fahn', u'Nicholas Guest']"
Ed Wood,7.9,R,Biography,127,"[u'Johnny Depp', u'Martin Landau', u'Sarah Jessica Parker']"
Stagecoach,7.9,NOT RATED,Adventure,96,"[u'John Wayne', u'Claire Trevor', u'Andy Devine']"
The Man Who Would Be King,7.9,PG,Action,129,"[u'Sean Connery', u'Michael Caine', u'Christopher Plummer']"
The Outlaw Josey Wales,7.9,PG,Western,135,"[u'Clint Eastwood', u'Sondra Locke', u'Chief Dan George']"
Children of Men,7.9,R,Drama,109,"[u'Julianne Moore', u'Clive Owen', u'Chiwetel Ejiofor']"
The Insider,7.9,R,Biography,157,"[u'Russell Crowe', u'Al Pacino', u'Christopher Plummer']"
The Right Stuff,7.9,R,Adventure,193,"[u'Sam Shepard', u'Scott Glenn', u'Ed Harris']"
Badlands,7.9,PG,Crime,94,"[u'Martin Sheen', u'Sissy Spacek', u'Warren Oates']"
A Prophet,7.9,R,Crime,155,"[u'Tahar Rahim', u'Niels Arestrup', u'Adel Bencherif']"
"4 Months, 3 Weeks and 2 Days",7.9,NOT RATED,Drama,113,"[u'Anamaria Marinca', u'Vlad Ivanov', u'Laura Vasiliu']"
Le passe,7.9,PG-13,Drama,130,"[u'B\xe9r\xe9nice Bejo', u'Tahar Rahim', u'Ali Mosaffa']"
The Fall,7.9,R,Adventure,117,"[u'Lee Pace', u'Catinca Untaru', u'Justine Waddell']"
Breaking the Waves,7.9,R,Drama,159,"[u'Emily Watson', u'Stellan Skarsg\xe5rd', u'Katrin Cartlidge']"
Mr. Nobody,7.9,R,Drama,141,"[u'Jared Leto', u'Sarah Polley', u'Diane Kruger']"
Crash,7.9,R,Drama,112,"[u'Don Cheadle', u'Sandra Bullock', u'Thandie Newton']"
Avatar,7.9,PG-13,Action,162,"[u'Sam Worthington', u'Zoe Saldana', u'Sigourney Weaver']"
Iron Man,7.9,PG-13,Action,126,"[u'Robert Downey Jr.', u'Gwyneth Paltrow', u'Terrence Howard']"
Do the Right Thing,7.9,R,Comedy,120,"[u'Danny Aiello', u'Ossie Davis', u'Ruby Dee']"
Carlito's Way,7.9,R,Crime,144,"[u'Al Pacino', u'Sean Penn', u'Penelope Ann Miller']"
"Crouching Tiger, Hidden Dragon",7.9,PG-13,Action,120,"[u'Yun-Fat Chow', u'Michelle Yeoh', u'Ziyi Zhang']"
Lilya 4-Ever,7.9,R,Crime,109,"[u'Oksana Akinshina', u'Artyom Bogucharskiy', u'Pavel Ponomaryov']"
The Chorus,7.9,PG-13,Drama,97,"[u'G\xe9rard Jugnot', u'Fran\xe7ois Berl\xe9and', u'Jean-Baptiste Maunier']"
The Boondock Saints,7.9,R,Action,108,"[u'Willem Dafoe', u'Sean Patrick Flanery', u'Norman Reedus']"
Miller's Crossing,7.9,R,Crime,115,"[u'Gabriel Byrne', u'Albert Finney', u'John Turturro']"
Walk the Line,7.9,PG-13,Biography,136,"[u'Joaquin Phoenix', u'Reese Witherspoon', u'Ginnifer Goodwin']"
Shrek,7.9,PG,Animation,90,"[u'Mike Myers', u'Eddie Murphy', u'Cameron Diaz']"
My Fair Lady,7.9,APPROVED,Drama,170,"[u'Audrey Hepburn', u'Rex Harrison', u'Stanley Holloway']"
The Ten Commandments,7.9,APPROVED,Adventure,220,"[u'Charlton Heston', u'Yul Brynner', u'Anne Baxter']"
The Fighter,7.9,R,Biography,116,"[u'Mark Wahlberg', u'Christian Bale', u'Amy Adams']"
Captain Phillips,7.9,PG-13,Biography,134,"[u'Tom Hanks', u'Barkhad Abdi', u'Barkhad Abdirahman']"
Cabaret,7.9,PG,Drama,124,"[u'Liza Minnelli', u'Michael York', u'Helmut Griem']"
Halloween,7.9,R,Drama,91,"[u'Donald Pleasence', u'Jamie Lee Curtis', u'Tony Moran']"
My Left Foot,7.9,R,Biography,103,"[u'Daniel Day-Lewis', u'Brenda Fricker', u'Alison Whelan']"
Miracle on 34th Street,7.9,APPROVED,Comedy,96,"[u'Edmund Gwenn', u""Maureen O'Hara"", u'John Payne']"
The Man from Nowhere,7.9,R,Action,119,"[u'Bin Won', u'Sae-ron Kim', u'Tae-hoon Kim']"
Toki o kakeru shojo,7.9,NOT RATED,Animation,98,"[u'Riisa Naka', u'Takuya Ishida', u'Mitsutaka Itakura']"
Little Miss Sunshine,7.9,R,Adventure,101,"[u'Steve Carell', u'Toni Collette', u'Greg Kinnear']"
Taken,7.9,PG-13,Action,93,"[u'Liam Neeson', u'Maggie Grace', u'Famke Janssen']"
Blue Is the Warmest Color,7.9,NC-17,Drama,179,"[u'L\xe9a Seydoux', u'Ad\xe8le Exarchopoulos', u'Salim Kechiouche']"
Boogie Nights,7.9,R,Drama,155,"[u'Mark Wahlberg', u'Julianne Moore', u'Burt Reynolds']"
Hot Fuzz,7.9,R,Comedy,121,"[u'Simon Pegg', u'Nick Frost', u'Martin Freeman']"
Ferris Bueller's Day Off,7.9,PG-13,Comedy,103,"[u'Matthew Broderick', u'Alan Ruck', u'Mia Sara']"
The World's Fastest Indian,7.9,PG-13,Biography,127,"[u'Anthony Hopkins', u'Diane Ladd', u'Iain Rea']"
Kiki's Delivery Service,7.9,G,Animation,103,"[u'Kirsten Dunst', u'Minami Takayama', u'Rei Sakuma']"
Down by Law,7.9,R,Comedy,107,"[u'Tom Waits', u'John Lurie', u'Roberto Benigni']"
Glengarry Glen Ross,7.9,R,Drama,100,"[u'Al Pacino', u'Jack Lemmon', u'Alec Baldwin']"
Clerks,7.9,R,Comedy,92,"[u""Brian O'Halloran"", u'Jeff Anderson', u'Marilyn Ghigliotti']"
Adam's Apples,7.9,R,Comedy,94,"[u'Ulrich Thomsen', u'Mads Mikkelsen', u'Nicolas Bro']"
The Girl with the Dragon Tattoo,7.9,R,Crime,158,"[u'Daniel Craig', u'Rooney Mara', u'Christopher Plummer']"
The 39 Steps,7.9,UNRATED,Mystery,86,"[u'Robert Donat', u'Madeleine Carroll', u'Lucie Mannheim']"
E.T. the Extra-Terrestrial,7.9,PG,Family,115,"[u'Henry Thomas', u'Drew Barrymore', u'Peter Coyote']"
Tombstone,7.8,R,Action,130,"[u'Kurt Russell', u'Val Kilmer', u'Sam Elliott']"
